 (cabinet)
" Churchill, W (cabinet)"
"Enahoro, Chief Anthony (clinton)"
"Enander, John Alfred (frus)"
"Enciso Velloso, Guillermo (clinton)"
"Enciso Velloso, Guillermo (frus)"
"Enckell, Carl (briefing)"
"Enckell, Carl (frus)"
"Enckell, Ralph (briefing)"
"Enckell, Ralph (clinton)"
"Enckell, Ralph (frus)"
"Endalkachew, Makonnen (briefing)"
"Endalkachew, Makonnen (clinton)"
"Endalkachew, Makonnen (frus)"
"Endara, Guillermo (briefing)"
"Endara, Guillermo (frus)"
"Enders, Thomas Ostrom (briefing)"
"Enders, Thomas Ostrom (frus)"
"Enders, Thomas; Enders, Thomas O. (clinton)"
"Enders, Thomas; Enders, Thomas O. (kissinger)"
"Endries, Anne (clinton)"
"Ene, Constantin (frus)"
"Enemark, W.A. (briefing)"
"Enemark, W.A. (frus)"
"Eng, Vincent (clinton)"
"Engeiken, Stephen (clinton)"
"Engel, David A. (briefing)"
"Engel, David A. (clinton)"
"Engel, David A. (frus)"
"Engelken, Stephen (clinton)"
"Engen, Hans (briefing)"
"Engen, Hans (clinton)"
"Engen, Hans (frus)"
"Engert, Cornelius Van Hemert (briefing)"
"Engert, Cornelius Van Hemert (frus)"
"Engle, F. Byron (clinton)"
"Engle, F. Byron (frus)"
"Engle, Gregory W. (briefing)"
"Engle, Gregory W. (frus)"
"Engle, Harold E. (frus)"
"Engle, James B. (clinton)"
"Engle, James Bruce (briefing)"
"Engle, James Bruce (frus)"
"Engle, Thomas (clinton)"
"Engle, Tricia (clinton)"
"English, Charles Lewis (briefing)"
"English, Charles Lewis (frus)"
"English, Glenn (briefing)"
"English, Glenn (frus)"
"English, Spofford G. (clinton)"
"English, Spofford G. (frus)"
"Engo, Paul (briefing)"
"Engo, Paul (clinton)"
"Engo, Paul (cpdoc)"
"Engo, Paul (frus)"
"Engulu, Leon (briefing)"
"Engulu, Leon (clinton)"
"Engulu, Leon (frus)"
"Eni, Faleomavaega (clinton)"
"Enkhbayar, Nambaryn (briefing)"
"Enkhbayar, Nambaryn (frus)"
"Ennals, D (cabinet)"
"Enoch Powell, J (cabinet)"
"Enoch-Powell, J (cabinet)"
"Enrile, Juan Ponce (briefing)"
"Enrile, Juan Ponce (clinton)"
"Enrile, Juan Ponce (frus)"
"Ensenat, Donald Burnham (briefing)"
"Ensenat, Donald Burnham (frus)"
"Ensher, Henry (clinton)"
"Ensher, Henry S. (briefing)"
"Ensher, Henry S. (frus)"
"Ensor, Andrew (clinton)"
"Ensor, Andrew F. (briefing)"
"Ensor, Andrew F. (frus)"
"Ensor, David (clinton)"
"Enstrom, Karen (clinton)"
"Entezam, Abdollah; Entezam, Abdullah (clinton)"
"Entezam, Abdullah (briefing)"
"Entezam, Abdullah (frus)"
"Entezam, Nasrollah (briefing)"
"Entezam, Nasrollah (clinton)"
"Entezam, Nasrollah (cpdoc)"
"Entezam, Nasrollah (frus)"
"Enthoven, Alain (clinton)"
"Enthoven, Alain C. (briefing)"
"Enthoven, Alain C. (clinton)"
"Enthoven, Alain C. (frus)"
"Entwistle, James F. (briefing)"
"Entwistle, James F. (frus)"
Enver Pasha (briefing)
Enver Pasha (frus)
"Epley, Marion (frus)"
"Epping, Jay (clinton)"
"Epping, Jerome (clinton)"
"Epstein, Shachno (frus)"
"Eqbal, Dr. Manoutchehr (clinton)"
"Eqbal, Manuchehr (briefing)"
"Eqbal, Manuchehr (clinton)"
"Eqbal, Manuchehr (frus)"
Eralp Orhan (clinton)
"Eralp, Orhan (briefing)"
"Eralp, Orhan (clinton)"
"Eralp, Orhan (frus)"
"Erasmus, Francois Christiaan (briefing)"
"Erasmus, Francois Christiaan (clinton)"
"Erasmus, Francois Christiaan (frus)"
"Erath, Tara (clinton)"
"Erb, Guy F. (frus)"
"Erb, Guy; Erb, Guy F. (clinton)"
"Erb, Richard D. (clinton)"
"Erb, Richard D. (frus)"
"Erbakan, Necmettin (briefing)"
"Erbakan, Necmettin (clinton)"
"Erbakan, Necmettin (frus)"
"Erdman, Richard (clinton)"
"Erdman, Richard W. (briefing)"
"Erdman, Richard W. (frus)"
"Erdogan, Recep Tayyip (briefing)"
"Erdogan, Recep Tayyip (frus)"
"Ereli, Adam (clinton)"
"Ereli, Joseph (clinton)"
"Ereli, Joseph Adam (briefing)"
"Ereli, Joseph Adam (frus)"
"Erell, Moshe (clinton)"
"Erell, Moshe (cpdoc)"
"Erell, Moshe (frus)"
"Erhard, Dr. Ludwig; Erhard, Ludwig; Erhard, Ludwig (CDU) (clinton)"
"Erhard, Ludwig (briefing)"
"Erhard, Ludwig (cpdoc)"
"Erhard, Ludwig (frus)"
"Erhardt, John George (frus)"
"Erian (Iryan), Abdallah el- (clinton)"
"Erickson, Eldon B. (frus)"
"Ericson, Richard A., Jr. (clinton)"
"Ericson, Richard August, Jr. (frus)"
"Eriksen, Erik (briefing)"
"Eriksen, Erik (frus)"
"Erikson, Daniel (clinton)"
"Erim, Ismail Nihat (briefing)"
"Erim, Ismail Nihat (frus)"
"Erim, Nehat; Erim, Nihan; Erim, Nihat (clinton)"
"Erkin, Feridun Cemal (briefing)"
"Erkin, Feridun Cemal (frus)"
"Erkin, Feridun; Erkin, Feridun C.; Erkin, Feridun Cemal; Erkin, Feridun.C. (clinton)"
"Erkmen, Hayrettin (briefing)"
"Erkmen, Hayrettin (clinton)"
"Erkmen, Hayrettin (frus)"
"Erlander, Tage (briefing)"
"Erlander, Tage (clinton)"
"Erlander, Tage (frus)"
"Erler, Fritz (briefing)"
"Erler, Fritz (clinton)"
"Erler, Fritz (frus)"
"Erler, Fritz K.G. (clinton)"
"Ermarth, Fritz (briefing)"
"Ermarth, Fritz (clinton)"
"Ermarth, Fritz (frus)"
"Ernesto, Pedro (cpdoc)"
Ernle (cabinet)
"Ernst, Daniel (clinton)"
"Ernst, David H. (clinton)"
"Ernst, David H. (frus)"
"Ernst, Maurice C. (clinton)"
"Ernst, Maurice C. (frus)"
"Ernst, Roger (frus)"
"Erofeev, Vladimir (clinton)"
"Erroll, F (cabinet)"
"Ersboll, Niels (clinton)"
"Ersboll, Niels (frus)"
"Erselman, Andreas (frus)"
"Erselman, Brigadier General Andreas (clinton)"
"Ershad, Hussain Mohammad (briefing)"
"Ershad, Hussain Mohammad (frus)"
"Erskine, Gen. Graves B.; Erskine, General (Ret.) Graves; Erskine, General Graves B.; Erskine, Graves B. (clinton)"
"Erskine, George W. E. J. (briefing)"
"Erskine, George W. E. J. (frus)"
"Erskine, Graves B. (briefing)"
"Erskine, Graves B. (frus)"
"Ertekun, Necati (clinton)"
"Ertekün, Necati (frus)"
"Ervin, Clark Kent (briefing)"
"Ervin, Clark Kent (frus)"
"Erving, George William (briefing)"
"Erving, George William (frus)"
"Erwin, John D. (clinton)"
"Erwin, John Draper (briefing)"
"Erwin, John Draper (frus)"
"Erwin, Mark Wylea (briefing)"
"Erwin, Mark Wylea (frus)"
"Esaki, Masumi (briefing)"
"Esaki, Masumi (clinton)"
"Esaki, Masumi (frus)"
"Escalante, DiÃ³genes (briefing)"
"Escalante, Diógenes (frus)"
"Esch, Marvin L. (briefing)"
"Esch, Marvin L. (clinton)"
"Esch, Marvin L. (frus)"
"Escobar Bethancourt, Romulo (briefing)"
"Escobar Bethancourt, Romulo (cpdoc)"
"Escobar Bethancourt, Romulo (frus)"
"Escobar, Kymberly (clinton)"
"Escobar, Ruth (cpdoc)"
"Escorel, Lauro (cpdoc)"
"Escovar, Ramon (clinton)"
"Escovar, Ramon (cpdoc)"
"Escovar, Ramon (frus)"
"Escrogima, Ana (clinton)"
"Escudero, Stanley T. (clinton)"
"Escudero, Stanley Tuemler (briefing)"
"Escudero, Stanley Tuemler (frus)"
"Esenbel, Melih (briefing)"
"Esenbel, Melih (clinton)"
"Esenbel, Melih (frus)"
"Esenbel, Melih (kissinger)"
"Esfandiary-Bakhtiari, Soraya (briefing)"
"Esfandiary-Bakhtiari, Soraya (frus)"
"Eshkol, Levi (briefing)"
"Eshkol, Levi (clinton)"
"Eshkol, Levi (frus)"
"Esin, Seyfullah (briefing)"
"Esin, Seyfullah (frus)"
"Eskildsen, Clarence (clinton)"
"Eskildsen, Clarence (frus)"
"Eskin, Otho Evans (clinton)"
"Eskin, Otho Evans (frus)"
"Espil, Jorge Aja (briefing)"
"Espil, Jorge Aja (frus)"
"Espinel, Victoria (clinton)"
"Espinosa de los Monteros, Antonio (briefing)"
"Espinosa de los Monteros, Antonio (frus)"
"Espinosa, Augusto (briefing)"
"Espinosa, Augusto (clinton)"
"Espinosa, Augusto (frus)"
"Esposito, Vincent J. (frus)"
"Espriella, Ricardo de la (briefing)"
"Espriella, Ricardo de la (frus)"
"Espy, James (briefing)"
"Espy, James (clinton)"
"Espy, James (frus)"
"Esquivel Arguedas, Mario (clinton)"
"Esquivel Arguedas, Mario (frus)"
"Esquivel, Manuel (briefing)"
"Esquivel, Manuel (frus)"
"Essebsi, Beji Caid (briefing)"
"Essebsi, Beji Caid (frus)"
"Esser, Victoria (clinton)"
"Estenssoro, Paz (cpdoc)"
"Esterline, J. D.; Esterline, Jacob D. (clinton)"
"Esterline, Jacob D. (briefing)"
"Esterline, Jacob D. (frus)"
"Estes, Thomas Stuart (briefing)"
"Estes, Thomas Stuart (frus)"
"Estournelles de Constant, Paul Henri Benjamin dâ. (briefing)"
"Estournelles de Constant, Paul Henri Benjamin d’. (frus)"
"Estrada Cabrera, Manuel (briefing)"
"Estrada Cabrera, Manuel (frus)"
"Estrada, John L. (briefing)"
"Estrada, John L. (frus)"
"Estrada, Joseph (briefing)"
"Estrada, Joseph (frus)"
"Estrada, Pio (frus)"
"Estrada, Stephen (clinton)"
"Esztergalyos, Ferenc (briefing)"
"Esztergalyos, Ferenc (frus)"
"Eteki M'Boumoua, William A. (clinton)"
"Eteki M’Boumoua, William A. (frus)"
"Etemadi, Nur Ahmad (briefing)"
"Etemadi, Nur Ahmad (frus)"
"Etemadi, Nur Ahmad; Etemadi, Nur Ahmed (clinton)"
"Etheart, Albert (clinton)"
"Ethel, William G. (clinton)"
"Ethel, William G. (frus)"
"Ethéart, Albert (frus)"
"Etian, Syiva (clinton)"
"Etim, Linda (clinton)"
"Etzel, Franz (briefing)"
"Etzel, Franz (clinton)"
"Etzel, Franz (frus)"
"Eu, March Fong (briefing)"
"Eu, March Fong (frus)"
"Euan Wallace, D (cabinet)"
"Eubank, David (clinton)"
"Eugenio Aramburu, Pedro (cpdoc)"
"Eugênio de Macedo Soares, José (cpdoc)"
"Eure, Bryan (clinton)"
Eurico  (cpdoc)
"Eustis, James Biddle (briefing)"
"Eustis, James Biddle (frus)"
"Eustis, William (briefing)"
"Eustis, William (frus)"
"Evans, Allan (frus)"
"Evans, Allan; Evans, John W. (clinton)"
"Evans, Arthur (clinton)"
"Evans, Barbara (clinton)"
"Evans, Barbara (frus)"
"Evans, Colonel Robert F. (clinton)"
"Evans, Colonel Robert F. (kissinger)"
"Evans, E (cabinet)"
"Evans, George (briefing)"
"Evans, George (frus)"
"Evans, Howard (frus)"
"Evans, John Marshall (briefing)"
"Evans, John Marshall (frus)"
"Evans, John W. (frus)"
"Evans, L (cabinet)"
"Evans, Melvin H. (briefing)"
"Evans, Melvin H. (frus)"
"Evans, Robert F. (briefing)"
"Evans, Robert F. (cpdoc)"
"Evans, Robert F. (frus)"
"Evans, Rowland (clinton)"
"Evans, Rowland, Jr. (briefing)"
"Evans, Rowland, Jr. (clinton)"
"Evans, Rowland, Jr. (frus)"
"Evans, Trefor E. (briefing)"
"Evans, Trefor E. (frus)"
"Evans, Vernon (briefing)"
"Evans, Vernon (frus)"
"Evaristo Arns, Paulo (cpdoc)"
"Evarts, William Maxwell (briefing)"
"Evarts, William Maxwell (frus)"
"Evatt, H (cabinet)"
"Evatt, Herbert Vere (briefing)"
"Evatt, Herbert Vere (frus)"
"Eve, Joseph (briefing)"
"Eve, Joseph (frus)"
"Eveland, Captain Wilbur C., Jr. (clinton)"
"Eveland, Wilbur C., Jr. (briefing)"
"Eveland, Wilbur C., Jr. (frus)"
"Evensen, Jens (briefing)"
"Evensen, Jens (clinton)"
"Evensen, Jens (cpdoc)"
"Evensen, Jens (frus)"
"Everest, Frank F. (briefing)"
"Everest, Frank F. (frus)"
"Everest, Lieutenant General Frank F. (clinton)"
"Everett, A (cabinet)"
"Everett, Alexander Hill (briefing)"
"Everett, Alexander Hill (frus)"
"Everett, Edward (briefing)"
"Everett, Edward (cpdoc)"
"Everett, Edward (frus)"
"Eversman, Sarah (clinton)"
"Everton, John S. (clinton)"
"Everton, John Scott (briefing)"
"Everton, John Scott (frus)"
"Evill, D (cabinet)"
"Evren, Kenan (briefing)"
"Evren, Kenan (clinton)"
"Evren, Kenan (frus)"
"Evron, Ephraim (briefing)"
"Evron, Ephraim (clinton)"
"Evron, Ephraim (frus)"
"Evsekov, Nikolay Vasilyevich (frus)"
"Evseyev, Petr Karpovich (clinton)"
"Evseyev, Petr Karpovich (frus)"
"Ewalt, Larry (frus)"
"Ewing, Hugh Boyle (briefing)"
"Ewing, Hugh Boyle (frus)"
"Ewing, James Stevenson (briefing)"
"Ewing, James Stevenson (frus)"
"Ewing, John (frus)"
"Ewing, Raymond C. (briefing)"
"Ewing, Raymond C. (frus)"
"Ewing, Raymond C.; Ewing, Richard T. (clinton)"
"Ewing, Richard T. (frus)"
"Ewing, Y. Robert (clinton)"
"Exintaris, Georges (clinton)"
"Exintaris, Georges (frus)"
"Exter, John (briefing)"
"Exter, John (clinton)"
"Exter, John (frus)"
"Eyadema, Gnassingbe (briefing)"
"Eyadema, Gnassingbe (frus)"
"Eye, Stefanie (clinton)"
"Eyre, Alan (clinton)"
"Eyre, John (briefing)"
"Eyre, John (frus)"
"Eyres Monsell, B (cabinet)"
"Eyres-Monsell, B (cabinet)"
"Eyskens, Gaston (briefing)"
"Eyskens, Gaston (clinton)"
"Eyskens, Gaston (frus)"
"Eytan, Walter (briefing)"
"Eytan, Walter (clinton)"
"Eytan, Walter (frus)"
"Faber, Emmanuel (clinton)"
"Faber, Richard S. (clinton)"
"Faber, Richard S. (frus)"
"Fabrega Velarde, Edwin (frus)"
"Fabrega, Octavio (clinton)"
"Faccioni, Victor (cpdoc)"
"Facio Segreda, Gonzalo J. (briefing)"
"Facio Segreda, Gonzalo J. (frus)"
"Facio, Antonio A. (clinton)"
"Facio, Antonio A. (frus)"
Fagalde (cabinet)
"Fagerholm, Karl-August (briefing)"
"Fagerholm, Karl-August (clinton)"
"Fagerholm, Karl-August (frus)"
"Fagundes, Antônio (cpdoc)"
Fahad ibn Saud (briefing)
Fahad ibn Saud (clinton)
Fahad ibn Saud (frus)
"Fahd bin Abdul Aziz (Prince); Fahd bin Abdul Aziz al Saud; Fahd ibn Abd al-Aziz al Saud, Prince (clinton)"
Fahd ibn Ê»Abd al-Ê»AzÄ«z (briefing)
Fahd ibn ʻAbd al-ʻAzīz (frus)
"Fahmi[y], Ismail (clinton)"
"Fahmy (Fahmi), Ismail; Fahmy, Ismael; Fahmy, Ismail (clinton)"
"Fahmy, Ismail (briefing)"
"Fahmy, Ismail (cpdoc)"
"Fahmy, Ismail (frus)"
"Fahy, Charles (briefing)"
"Fahy, Charles (frus)"
"Faigle, John E. (frus)"
"Faillace, Karlygash (clinton)"
"Fair, Elisha Young (frus)"
"Fairbank, John King (briefing)"
"Fairbank, John King (clinton)"
"Fairbank, John King (frus)"
"Fairbanks, Richard (briefing)"
"Fairbanks, Richard (frus)"
"Fairbanks, Richard M., III (briefing)"
"Fairbanks, Richard M., III (frus)"
"Fairchild, Lucius (briefing)"
"Fairchild, Lucius (frus)"
"Fairchild, Muir S. (briefing)"
"Fairchild, Muir S. (frus)"
"Fairfax, Kenneth (clinton)"
"Fairfax, Kenneth J. (frus)"
"Fairlie, Henry (briefing)"
"Fairlie, Henry (frus)"
Faisal (Feisal) II; Faisal II; Faisal ibn Abdul al-Aziz al-Saud (clinton)
Faisal II (briefing)
Faisal II (frus)
"Faisal ibn Abd al--Aziz Al Saud; Faisal ibn Abd al-Aziz Al Saud; Faisal ibn Abd al-Aziz al Saud; Faisal ibn abd al-Aziz; Faisal, ibn al-Aziz (clinton)"
Faisal ibn Abd al-Aziz Al Saud (briefing)
Faisal ibn Abd al-Aziz Al Saud (frus)
"Faisal, King (clinton)"
"Faisal, King (kissinger)"
"Faisal, Said bin Taimur Bin (briefing)"
"Faisal, Said bin Taimur Bin (frus)"
"Fakhreddine, Mohamed (clinton)"
"Fakhreddine, Mohamed (frus)"
"Falaize, Pierre-Louis (briefing)"
"Falaize, Pierre-Louis (clinton)"
"Falaize, Pierre-Louis (frus)"
"Falaleyev, Fedor Yakovlevich (briefing)"
"Falaleyev, Fedor Yakovlevich (frus)"
"Falck, Edward (frus)"
"Falck, L. James (clinton)"
"Falck, L. James (frus)"
"Falco, K. Mathea (briefing)"
"Falco, K. Mathea (frus)"
"Falcon Briceno, Marcos (clinton)"
"Falcon, Walter (clinton)"
"Falcon, Walter (frus)"
"Falcon-Briceno, Marcos (clinton)"
"FalcÃ³n-BriceÃ±o, Marcos (briefing)"
"Falcão, Armando (cpdoc)"
"Falcão, Fernando (cpdoc)"
"Falcão, Waldemar (cpdoc)"
"Falcón-Briceño, Marcos (frus)"
"Fales, Herbert P. (clinton)"
"Fales, Herbert P. (frus)"
"Falin, Valentin M. (briefing)"
"Falin, Valentin M. (clinton)"
"Falin, Valentin M. (frus)"
"Falk, Elmer M. (clinton)"
"Falk, Elmer M. (frus)"
"Falkenhayn, Erich G. A. S. von (briefing)"
"Falkenhayn, Erich G. A. S. von (frus)"
"Falkner, William (clinton)"
"Falkner, William R. (briefing)"
"Falkner, William R. (frus)"
"Fall, Brian (briefing)"
"Fall, Brian (frus)"
"Fallah, Reza (briefing)"
"Fallah, Reza (clinton)"
"Fallah, Reza (frus)"
"Fallon, Robert (clinton)"
"Fallows, James M. (briefing)"
"Fallows, James M. (frus)"
"Fallows, James; Fallows, James M. (clinton)"
"Falvo, Christine (clinton)"
"Fanali, Duilio (briefing)"
"Fanali, Duilio (clinton)"
"Fanali, Duilio (frus)"
"Fanfani, Amintore (briefing)"
"Fanfani, Amintore (clinton)"
"Fanfani, Amintore (cpdoc)"
"Fanfani, Amintore (frus)"
"Fannin, P. Robert (briefing)"
"Fannin, P. Robert (frus)"
"Fannin, Paul J. (briefing)"
"Fannin, Paul J. (clinton)"
"Fannin, Paul J. (frus)"
"Fantinato Neto, Antônio (cpdoc)"
"Faraco, Daniel (cpdoc)"
"Farag, Ibrahim (briefing)"
"Farag, Ibrahim (frus)"
Farah (briefing)
Farah (clinton)
Farah (frus)
"Farah, Benjamin (cpdoc)"
"Farbstein, Leonard (briefing)"
"Farbstein, Leonard (clinton)"
"Farbstein, Leonard (frus)"
"Farhadi, Abdul Ghafur Rawan (briefing)"
"Farhadi, Abdul Ghafur Rawan (clinton)"
"Farhadi, Abdul Ghafur Rawan (frus)"
"Farhadi, Rawan (clinton)"
"Farhi, David (clinton)"
"Farhi, David (frus)"
"Faria Lima, Hilda (cpdoc)"
"Faria, A. (cpdoc)"
"Farid Al Awlaqi, Mohammed (frus)"
"Farina, Boaventura (cpdoc)"
"Farinholt, Larkin H. (clinton)"
"Farinholt, Larkin H. (frus)"
"Faris, Sophie (clinton)"
"Farish, Linn M. (briefing)"
"Farish, Linn M. (frus)"
"Farish, William S. (briefing)"
"Farish, William S. (frus)"
"Farjaani, Salih (frus)"
"Farkas, Ruby Ruth (Lewis) (frus)"
"Farland, Joseph S. (clinton)"
"Farland, Joseph Simpson (briefing)"
"Farland, Joseph Simpson (frus)"
"Farley, Hugh D. (briefing)"
"Farley, Hugh D. (clinton)"
"Farley, Hugh D. (frus)"
"Farley, Philip J. (clinton)"
"Farley, Philip J. (frus)"
"Farmakis, Nikos (clinton)"
"Farmakis, Nikos (frus)"
"Farman, Elbert Eli (frus)"
"Farmer, Garland R., Jr. (frus)"
"Farmer, Paul (clinton)"
"Farmer, Thomas L. (frus)"
"Farnsworth, Sarah (clinton)"
"Farooqi, Zahir M. (clinton)"
"Farooqi, Zahir M. (frus)"
Farouk I (briefing)
Farouk I (clinton)
Farouk I (cpdoc)
Farouk I (frus)
"Farouk I, King (clinton)"
"Farra, Jamal E.D. (clinton)"
"Farra, Jamal E.D. (frus)"
"Farra, Mohammed Hussein El (briefing)"
"Farra, Mohammed Hussein El (frus)"
"Farrand, Robert William (frus)"
"Farraq Tayeh, Ahmed Mohamed (clinton)"
"Farraq Tayeh, Ahmed Mohamed (frus)"
"Farrar, Curtis (frus)"
"Farrar, Jonathan (clinton)"
"Farrar, Jonathan D. (briefing)"
"Farrar, Jonathan D. (frus)"
"Farrell, Francis W. (briefing)"
"Farrell, Francis W. (frus)"
"Farrell, Major General Francis W. (clinton)"
"Farrell, Shannon (clinton)"
"Farrell, Thomas F. (frus)"
"Farrow, Jeffrey (clinton)"
"Farrow, Ronan (clinton)"
"Fascell, Dante B. (briefing)"
"Fascell, Dante B. (cpdoc)"
"Fascell, Dante B. (frus)"
"Fascell, Dante; Fascell, Dante B. (clinton)"
"Fascell, Dante; Fascell, Dante B. (kissinger)"
"Fasick, J.K. (frus)"
"Fass, H (cabinet)"
"Fatemi (Fatimi), Hossein (clinton)"
"Fatemi, Hossein (briefing)"
"Fatemi, Hossein (frus)"
"Fattal, Alex (clinton)"
"Fattal, Diyallah El- (briefing)"
"Fattal, Diyallah El- (clinton)"
"Fattal, Diyallah El- (frus)"
"Faucher, Robert (clinton)"
"Fauci, Anthony (clinton)"
"Faulkner, A (cabinet)"
"Faulkner, Arthur (briefing)"
"Faulkner, Arthur (clinton)"
"Faulkner, Arthur (frus)"
"Faulkner, Brian (briefing)"
"Faulkner, Brian (clinton)"
"Faulkner, Brian (frus)"
"Faulkner, Charles James (briefing)"
"Faulkner, Charles James (frus)"
"Faunce, Anthony (frus)"
"Faure, Edgar Jean (briefing)"
"Faure, Edgar Jean (frus)"
"Faure, Edgar; Faure, Edgar Jean (clinton)"
"Faure, Maurice (briefing)"
"Faure, Maurice (clinton)"
"Faure, Maurice (cpdoc)"
"Faure, Maurice (frus)"
"Faustino, José (cpdoc)"
"Fawcett, E (cabinet)"
"Fawzi Bey, Mahmoud; Fawzi, Dr. Mahmoud; Fawzi, Mahmoud; Fawzi, Mohammed (clinton)"
"Fawzi, General Mohammed (clinton)"
"Fawzi, Mahmoud (briefing)"
"Fawzi, Mahmoud (frus)"
"Fawzi, Mohammed (briefing)"
"Fawzi, Mohammed (frus)"
"Fay, Albert Bel (briefing)"
"Fay, Albert Bel (frus)"
"Fay, S (cabinet)"
"Fay, Theodore Sedgwick (briefing)"
"Fay, Theodore Sedgwick (frus)"
"Faymann, Werner (briefing)"
"Faymann, Werner (frus)"
"Fazio, V. James (clinton)"
"Fazio, V. James (frus)"
"Fazio, Victor H., Jr. (briefing)"
"Fazio, Victor H., Jr. (clinton)"
"Fazio, Victor H., Jr. (frus)"
"Fearey, Robert A. (clinton)"
"Fearey, Robert Appleton (briefing)"
"Fearey, Robert Appleton (frus)"
"Fearn, John Walker (briefing)"
"Fearn, John Walker (frus)"
"Fearn, Robin (briefing)"
"Fearn, Robin (frus)"
"Fearnley, John T. (briefing)"
"Fearnley, John T. (clinton)"
"Fearnley, John T. (frus)"
"Feary, Robert A. (clinton)"
"Featherstone, James (briefing)"
"Featherstone, James (clinton)"
"Featherstone, James (frus)"
"Febres-Cordero, Leon (briefing)"
"Febres-Cordero, Leon (frus)"
"Fechteler, Admiral William M.; Fechteler, Admiral William N.; Fechteler, Rear Admiral William M.; Fechteler, William M. (clinton)"
"Fechteler, William M. (briefing)"
"Fechteler, William M. (frus)"
"Fechter, Rudolf (briefing)"
"Fechter, Rudolf (clinton)"
"Fechter, Rudolf (frus)"
"Federer, Julius (briefing)"
"Federer, Julius (clinton)"
"Federer, Julius (frus)"
"Federico Robledo, Angel (cpdoc)"
"Federov, Yevgeni (briefing)"
"Federov, Yevgeni (clinton)"
"Federov, Yevgeni (frus)"
"Fedorenko, N. T.; Fedorenko, Nikolai T. (clinton)"
"Fedorenko, Nicolai T. (briefing)"
"Fedorenko, Nicolai T. (frus)"
"Fedorenko, Nicolai T.; Fedorenko, Nikolai Trofimovich; Fedorenko, Nikolai Trofimovich. T.; Fedorenko, Nikolai Trofimovisch (clinton)"
"Fedoroff, Nina (clinton)"
"Feehery, Kerry (clinton)"
"Feeley, John (clinton)"
"Feely, Edward Francis (frus)"
"Feierstein, Gerald (briefing)"
"Feierstein, Gerald (clinton)"
"Feierstein, Gerald (frus)"
"Feigenbaum, Evan (clinton)"
"Feilding, G (cabinet)"
"Fein, David (clinton)"
"Feinberg, Abraham (briefing)"
"Feinberg, Abraham (clinton)"
"Feinberg, Abraham (frus)"
"Feinberg, Ken (clinton)"
"Feinberg, Richard (clinton)"
"Feinberg, Richard E. (frus)"
"Feinberg, e. M. (cpdoc)"
"Feinstein, Barbara (clinton)"
"Feinstein, Lee (clinton)"
"Feinstein, Lee Andrew (briefing)"
"Feinstein, Lee Andrew (frus)"
Feisal (briefing)
Feisal (cabinet)
Feisal (frus)
"Feketekuty, Geza (clinton)"
"Feketekuty, Geza (frus)"
"Feki, Ahmed Hassan el- (clinton)"
"Feki, Ahmed Hassan el- (frus)"
"Fekini, Mohieddine (briefing)"
"Fekini, Mohieddine (clinton)"
"Fekini, Mohieddine (frus)"
"Feld, Nicholas (clinton)"
"Feld, Nicholas (frus)"
"Feldboy, Yael (clinton)"
"Felder, Robert C. (frus)"
"Feldman, Daniel (clinton)"
"Feldman, George (clinton)"
"Feldman, George Joseph (frus)"
"Feldman, Harvey J. (briefing)"
"Feldman, Harvey J. (clinton)"
"Feldman, Harvey J. (frus)"
"Feldman, Mark B. (clinton)"
"Feldman, Mark B. (frus)"
"Feldman, Michael (clinton)"
"Feldman, Myer (briefing)"
"Feldman, Myer (clinton)"
"Feldman, Myer (frus)"
"Feldman, Roger B. (frus)"
"Feldmann, David (clinton)"
"Felga, Julie-Ann (clinton)"
"Felgar, Julie-Ann (clinton)"
"Felipe Lampreia, Luiz (cpdoc)"
"Felipe Seixas Corrêa, Luiz (cpdoc)"
"Felipe Teixeira Soares, Luiz (cpdoc)"
"Felix, Archduke (briefing)"
"Felix, Archduke (frus)"
"Feller, Abraham H. (briefing)"
"Feller, Abraham H. (clinton)"
"Feller, Abraham H. (frus)"
"Fellman, Beth (clinton)"
"Fellner, William J. (briefing)"
"Fellner, William J. (frus)"
"Felt, Adm. Harry D.; Felt, Admiral Harry D.; Felt, Admiral Harry D. (USN); Felt, Harry D. Admiral (clinton)"
"Felt, Harry D. (briefing)"
"Felt, Harry D. (frus)"
"Feltman, Jeffrey (clinton)"
"Feltman, Jeffrey David (briefing)"
"Feltman, Jeffrey David (frus)"
"Felton, Erin (clinton)"
Feng Chi-chung (briefing)
